model,config_id,parameters,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_specificity_mean,cv_specificity_std
logistic_regression,1,"{""C"": 0.5, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 3000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.6747024608501119,0.017598780065450608,0.38095804195804195,0.02620588293972173,0.5027027027027027,0.04712323182206132,0.43312285156288466,0.03326878018387208,0.6910009567089214,0.02935543348179079,0.46572007469153737,0.04705537952209053,0.6170277103905422,0.02515209651721192,0.7313527180783818,0.017507028357569208
logistic_regression,2,"{""C"": 1.0, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 3000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.678738255033557,0.024631275205131205,0.38631682547795504,0.03488041357142678,0.5027027027027027,0.050127667543220004,0.43651393350650947,0.039802372574530905,0.6871062117743534,0.029633803070089334,0.4622513304876982,0.048848798470256576,0.6197062818191137,0.03067794804002509,0.7367098609355246,0.024203825831437403
logistic_regression,3,"{""C"": 2.0, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 3000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.6787472035794183,0.025255279187055314,0.38646062342266485,0.03578904483509538,0.5027027027027027,0.050127667543220004,0.43656640678130454,0.040109743185616324,0.6833097003450986,0.028926937522592483,0.45925923546032826,0.049888563245697556,0.6197141832097585,0.030913908546204454,0.736725663716814,0.025335904897187813
decision_tree,1,"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 6, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}",0.5970380313199105,0.018031806189700218,0.29975847353705787,0.03983339881631711,0.4864864864864865,0.12444177765644691,0.36942601790113083,0.06464993367898016,0.5574140670379608,0.03204462361477376,0.2838729265887029,0.025194022421029253,0.5600099941914101,0.05011028525635668,0.6335335018963337,0.031958053332587506
decision_tree,2,"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}",0.6384876957494408,0.025234048885347492,0.32550983138067746,0.05136308906526216,0.4594594594594595,0.15572821936095063,0.37833560121969956,0.08591378804714558,0.5806919909796016,0.06429550139940615,0.2948782641869266,0.04231914595638032,0.5785129155704377,0.06720705963293444,0.6975663716814159,0.0280237542730528
decision_tree,3,"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}",0.6398031319910514,0.045571963175349485,0.31324167789636403,0.06835217501896752,0.3783783783783784,0.08881987419002695,0.34195502058916694,0.07570946945391356,0.5693052328561178,0.06251807018503562,0.3046401252485122,0.05439542918022382,0.552147469846585,0.05681564747263972,0.7259165613147914,0.04122368060530562
random_forest,1,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 200, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",0.7523400447427292,0.0008110167381026786,0.0,0.0,0.0,0.0,0.0,0.0,0.7387785304267604,0.055165699565624345,0.4847771660575205,0.09211390969765268,0.5,0.0,1.0,0.0
random_forest,2,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 350, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",0.7510156599552573,0.004314498490769418,0.2,0.4,0.005405405405405406,0.010810810810810811,0.010526315789473684,0.021052631578947368,0.7491265760071071,0.046985484138458516,0.5121943476685619,0.0733758751071655,0.5009327911982779,0.006594268489388004,0.9964601769911503,0.004335380075722446
random_forest,3,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 500, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",0.7563758389261744,0.008578197603680619,0.5,0.4472135954999579,0.02702702702702703,0.029606624730008982,0.05078272604588394,0.05478230656504254,0.7451429938155603,0.041551611021149466,0.5101702857249772,0.07492435369028659,0.5117436020090886,0.015740224271239125,0.9964601769911503,0.004335380075722446
extra_trees,1,"{""bootstrap"": false, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 200, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",0.7550335570469798,0.004619044866049495,0.5333333333333333,0.4521553322083512,0.021621621621621623,0.020225175063642926,0.04105263157894737,0.037718890246671403,0.7383710749308093,0.04173952321574831,0.5042650978833553,0.06273019136365088,0.5090329979157413,0.009858101245786873,0.996444374209861,0.004354806133342131
