model,config_id,parameters,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,specificity
logistic_regression,1,"{""C"": 0.5, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 3000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.6521739130434783,0.35714285714285715,0.5,0.4166666666666667,0.659090909090909,0.46343143222793526,0.6012396694214877,0.7024793388429752
decision_tree,2,"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}",0.5838509316770186,0.24528301886792453,0.325,0.27956989247311825,0.48657024793388437,0.24024068322981368,0.49721074380165287,0.6694214876033058
random_forest,2,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 350, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",0.7391304347826086,0.0,0.0,0.0,0.6780991735537191,0.360078972880616,0.49173553719008267,0.9834710743801653
extra_trees,3,"{""bootstrap"": false, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 500, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",0.7329192546583851,0.2857142857142857,0.05,0.0851063829787234,0.7231404958677686,0.4205145238179676,0.5043388429752066,0.9586776859504132
gradient_boosting,3,"{""ccp_alpha"": 0.0, ""criterion"": ""deprecated"", ""init"": null, ""learning_rate"": 0.03, ""loss"": ""log_loss"", ""max_depth"": 3, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 200, ""n_iter_no_change"": null, ""random_state"": 42, ""subsample"": 1.0, ""tol"": 0.0001, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}",0.7142857142857143,0.2,0.05,0.08,0.6642561983471075,0.34420225208995253,0.4919421487603306,0.9338842975206612
hist_gradient_boosting,2,"{""categorical_features"": ""from_dtype"", ""class_weight"": null, ""early_stopping"": ""auto"", ""interaction_cst"": null, ""l2_regularization"": 0.0, ""learning_rate"": 0.08, ""loss"": ""log_loss"", ""max_bins"": 255, ""max_depth"": null, ""max_features"": 1.0, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""monotonic_cst"": null, ""n_iter_no_change"": 10, ""random_state"": 42, ""scoring"": ""loss"", ""tol"": 1e-07, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}",0.7142857142857143,0.2857142857142857,0.1,0.14814814814814814,0.6768595041322314,0.3676095743064348,0.5086776859504133,0.9173553719008265
adaboost,2,"{""estimator"": null, ""learning_rate"": 0.5, ""n_estimators"": 200, ""random_state"": 42}",0.7515527950310559,0.5,0.15,0.23076923076923078,0.6421487603305785,0.3701835588011099,0.550206611570248,0.9504132231404959
svc,3,"{""C"": 2.0, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": ""balanced"", ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 3, ""gamma"": ""scale"", ""kernel"": ""rbf"", ""max_iter"": -1, ""probability"": true, ""random_state"": 42, ""shrinking"": true, ""tol"": 0.001, ""verbose"": false}",0.7391304347826086,0.46153846153846156,0.3,0.36363636363636365,0.7148760330578513,0.4342173695484418,0.5921487603305785,0.8842975206611571
knn,2,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": -1, ""n_neighbors"": 15, ""p"": 2, ""weights"": ""distance""}",0.7391304347826086,0.42857142857142855,0.15,0.2222222222222222,0.715495867768595,0.42509079174816666,0.5419421487603305,0.9338842975206612
gaussian_nb,3,"{""priors"": null, ""var_smoothing"": 1e-07}",0.5900621118012422,0.32894736842105265,0.625,0.43103448275862066,0.5829545454545455,0.3016135701514875,0.6017561983471074,0.5785123966942148
